lastUpdated,text,title,url
" 30 December 2018, at 18:14",,Benevolent dictator for life,https://en.wikipedia.org/wiki/Benevolent_dictator_for_life
" 24 December 2018, at 00:02",,Django (web framework),https://en.wikipedia.org/wiki/Django_(web_framework)
" 19 November 2018, at 03:29",,Adrian Holovaty,https://en.wikipedia.org/wiki/Adrian_Holovaty
" 8 October 2018, at 19:01",,Wes McKinney,https://en.wikipedia.org/wiki/Wes_McKinney
" 20 November 2018, at 18:51",,Xavier Leroy,https://en.wikipedia.org/wiki/Xavier_Leroy
" 3 December 2018, at 13:56",,Chris Lattner,https://en.wikipedia.org/wiki/Chris_Lattner
" 2 January 2019, at 22:20",,Clojure,https://en.wikipedia.org/wiki/Clojure
" 15 October 2018, at 08:17",,Yukihiro Matsumoto,https://en.wikipedia.org/wiki/Yukihiro_Matsumoto
" 31 December 2018, at 00:52",,OCaml,https://en.wikipedia.org/wiki/OCaml
" 2 January 2019, at 21:19",,Swift (programming language),https://en.wikipedia.org/wiki/Swift_(programming_language)
" 2 January 2019, at 22:20",,Clojure,https://en.wikipedia.org/wiki/Rich_Hickey
" 24 December 2018, at 02:30",,Elm (programming language),https://en.wikipedia.org/wiki/Elm_(programming_language)
" 4 January 2019, at 12:23",,Ruby on Rails,https://en.wikipedia.org/wiki/Ruby_on_Rails
" 25 December 2018, at 11:18",,Ruby (programming language),https://en.wikipedia.org/wiki/Ruby_(programming_language)
" 3 December 2018, at 14:26",,David Heinemeier Hansson,https://en.wikipedia.org/wiki/David_Heinemeier_Hansson
" 23 December 2018, at 22:32",,Drupal,https://en.wikipedia.org/wiki/Drupal
" 27 December 2018, at 01:41",,MSNBC,https://en.wikipedia.org/wiki/Msnbc.com
" 4 December 2018, at 01:54",,John S. and James L. Knight Foundation,https://en.wikipedia.org/wiki/Knight_Foundation
" 7 December 2018, at 08:07",,VentureBeat,https://en.wikipedia.org/wiki/VentureBeat
" 3 December 2018, at 01:12",,SIGPLAN,https://en.wikipedia.org/wiki/SIGPLAN
 本页面最后修订于2018年12月21日 (星期五) 08:32。,,终身仁慈独裁者,https://zh.wikipedia.org/wiki/%E7%BB%88%E8%BA%AB%E4%BB%81%E6%85%88%E7%8B%AC%E8%A3%81%E8%80%85
" 3 January 2019, at 16:44",,,https://en.wikipedia.org/wiki/Washingtonpost.com
" 5 May 2018, at 00:37",,Special Interest Group,https://en.wikipedia.org/wiki/Special_Interest_Group
" 3 January 2019, at 07:54",,FreeBSD,https://en.wikipedia.org/wiki/FreeBSD
