item_code,product_name,url,price_per_unit,unit,rating,product_reviews,product_origin,product_image,Mono-unsaturates,Omega 3 Fatty Acids,Energy kcal,Sugars,Starch,Trans Fat,Protein,Polyunsaturates,Mono unsaturates,Carbohydrate,Fibre,Salt,Saturates,Fat,Energy,Total Sugars
6026707,Sainsbury's Butcher's Choice Beef Sausage x8 454g,https://www.sainsburys.co.uk/shop/gb/groceries/special-offers-314361-44/sainsburys-butchers-choice-beef-sausage-x8-454g,£1.75,,2.5417,24,Produced in United Kingdom Produced using British Beef,,6.0g,,233kcal,0.7g,12.5g,,12.1g,1.1g,,13.2g,1.1g,1.40g,6.2g,14.4g,971kJ,
7916887,Sainsbury's British Hot Smoked Mackerel Fillets 140g,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1220710&urlRequestType=Base&categoryId=369359&catalogId=10123&langId=44,£1.75,,4.0,4,Produced in United Kingdom,,12.0g,,346kcal,<0.5g,,,19.8g,8.5g,,2.1g,<0.5g,1.80g,6.5g,28.6g,1435kJ,
7774024,Sainsbury's Honey Smoked Mackerel (approx. 250g),https://www.sainsburys.co.uk/shop/gb/groceries/smoked-salmon---ready-to-eat/sainsburys-maple-hot-smoked-mackerel-%28approx-280g%29,£14.00,,4.5,6,Packed in United Kingdom Produced in United Kingdom,,12.8g,7.3g,364kcal,2.8g,,0.1g,20.5g,8.2g,,5.1g,<0.5g,2.38g,6.6g,28.9g,1509kJ,
7771060,Silver Tide Roll Mop Herring 380g,https://www.sainsburys.co.uk/shop/gb/groceries/smoked-salmon---ready-to-eat/silver-tide-roll-mop-herring-380g,£2.00,,3.625,8,,,,,,,,,,,,,,,,,,
7770159,Sainsbury's Cooked Mussel Meat 150g,https://www.sainsburys.co.uk/shop/gb/groceries/smoked-salmon---ready-to-eat/sainsburys-cooked-mussel-meat-150g,£1.75,,3.0,12,Packed in United Kingdom Caught in North-East Atlantic Produced using Packed in the UK with mussels caught using dredges in the North East Atlantic Ocean within the North Sea and landed in Denmark for Sainsbury's,,,1.1g,104kcal,<0.5g,,,14.3g,,,4.3g,<0.5g,1.30g,0.6g,3.2g,436kJ,
6832572,Sainsbury's Smoked Trout 120g,https://www.sainsburys.co.uk/shop/gb/groceries/smoked-salmon---ready-to-eat/sainsburys-smoked-trout-120g,£5.25,,5.0,3,Produced in Scotland Farmed in Scotland Produced using farmed Scottish (UK) trout,,2.9g,,160kcal,<0.5g,,,22.3g,1.5g,,4.5g,0.6g,2.13g,1.0g,5.8g,674kJ,
7774372,"Sainsbury's King Prawns, SO Organic 150g",https://www.sainsburys.co.uk/shop/gb/groceries/smoked-salmon---ready-to-eat/sainsburys-king-prawns--so-organic-150g,£3.95,,4.0,7,Produced in United Kingdom,,0g,,80kcal,<0.5g,,,19.3g,<0.1g,,<0.5g,<0.5g,1.15g,<0.1g,<0.5g,341kJ,
7778848,Wild Smoked Sockeye Salmon 100g,https://www.sainsburys.co.uk/shop/gb/groceries/smoked-salmon---ready-to-eat/wild-smoked-sockeye-salmon-100g,£6.25,,3.8333,18,,,,,,,,,,,,,,,,,,
7702977,Sainsbury's Honey Roast Salmon Portions 180g (Ready to eat),https://www.sainsburys.co.uk/shop/gb/groceries/smoked-salmon---ready-to-eat/sainsburys-honey-roast-salmon-portions-180g,£4.75,,3.2857,7,Produced in United Kingdom Farmed in Scotland Produced using Scottish Farmed Fish,,6.2g,,226kcal,3.0g,,,23.0g,3.6g,,3.4g,0g,0.63g,2.4g,13.4g,945kJ,
7776216,Sainsbury's Maple & Thyme Smoked Salmon Slices 150g,https://www.sainsburys.co.uk/shop/gb/groceries/smoked-salmon---ready-to-eat/sainsburys-maple---thyme-smoked-salmon-slices-150g,£4.50,,4.4286,7,Produced in United Kingdom Farmed in Scotland Produced using responsibly sourced farmed Scottish (UK) salmon.,,5.6g,,222kcal,2.0g,,,24.1g,3.3g,,4.8g,0.6g,0.61g,2.2g,11.7g,929kJ,
