item_code,nutritions,price_per_unit,product_image,product_name,product_origin,product_reviews,rating,unit,url
7231326,{},£2.00,https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/19/5019503002119/5019503002119_L.jpeg,Quorn Crispy Fillets x2  200g,,7,3.8571,,https://www.sainsburys.co.uk/shop/gb/groceries/meat-free-/quorn-crispy-fillets-200g
6026707,"{'Energy': '971kJ', 'Energy kcal': '233kcal', 'Fat': '14.4g', 'Saturates': '6.2g', 'Mono-unsaturates': '6.0g', 'Polyunsaturates': '1.1g', 'Carbohydrate': '13.2g', 'Sugars': '0.7g', 'Starch': '12.5g', 'Fibre': '1.1g', 'Protein': '12.1g', 'Salt': '1.40g'}",£1.75,https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/89/0000001083989/0000001083989_L.jpeg,Sainsbury's Butcher's Choice Beef Sausage x8 454g,Produced in United Kingdom Produced using British Beef,24,2.5417,,https://www.sainsburys.co.uk/shop/gb/groceries/special-offers-314361-44/sainsburys-butchers-choice-beef-sausage-x8-454g
7553225,{},£2.00,https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/21/5000178106721/5000178106721_L.jpeg,Mattessons Smoked Turkey Bacon Rashers x8 200g,,6,4.1667,,https://www.sainsburys.co.uk/shop/gb/groceries/special-offers-314361-44/mattessons-smoked-turkey-rashers-200g
7192471,{},£0.70,https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/97/5000178108497/5000178108497_L.jpeg,Fridge Raiders Southern Style Flavour Chicken Bites 60g,,3,3.3333,,https://www.sainsburys.co.uk/shop/gb/groceries/special-offers-314361-44/fridge-raiders-southern-fried-bite-60g
7316999,"{'Energy': '939kJ', 'Energy kcal': '226kcal', 'Fat': '18.0g', 'Saturates': '7.3g', 'Mono unsaturates': '8.2g', 'Polyunsaturates': '2.2g', 'Carbohydrate': '1.0g', 'Total Sugars': '1.0g', 'Starch': '<0.5g', 'Fibre': '<0.5g', 'Protein': '15.0g', 'Salt': '2.25g'}",£1.00,https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/67/0000001737967/0000001737967_L.jpeg,Sainsbury's German Sausage Selection Slices x30 100g,"Produced in Germany, Packed in Germany. Produced from German pork",13,3.0769,,https://www.sainsburys.co.uk/shop/gb/groceries/special-offers-314361-44/sainsburys-german-sausage-selection-slices-100g
1167351,"{'Energy': '1133kJ', 'Energy kcal': '273kcal', 'Fat': '22.0g', 'Saturates': '8.1g', 'Mono-unsaturates': '9.7g', 'Polyunsaturates': '3.3g', 'Carbohydrate': '1.5g', 'Sugars': '<0.5g', 'Starch': '1.1g', 'Fibre': '0.6g', 'Protein': '17.0g', 'Salt': '1.20g'}",£2.00,https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/51/0000001167351/0000001167351_L.jpeg,"Sainsbury's Pork Sausages, Taste the Difference x6 400g",Produced in United Kingdom Produced using British Pork,52,2.2692,,https://www.sainsburys.co.uk/shop/gb/groceries/special-offers-314361-44/sainsburys-ultimate-pork-saus--taste-the-difference-x6-400g
6427548,"{'Energy': '1643kJ', 'Energy kcal': '396kcal', 'Fat': '33.4g', 'Saturates': '10.3g', 'Mono-unsaturates': '14.6g', 'Polyunsaturates': '6.6g', 'Carbohydrate': '<0.5g', 'Sugars': '<0.5g', 'Fibre': '1.0g', 'Protein': '23.3g', 'Salt': '3.79g'}",£1.85,https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/22/0000001428322/0000001428322_L.jpeg,Sainsbury's Italian Smoked Pancetta 105g,Produced in Italy Packed in Italy Produced using Italian or Dutch pork,7,4.8571,,https://www.sainsburys.co.uk/shop/gb/groceries/special-offers-314361-44/sainsburys-italian-smoked-pancetta-105g
7792825,{},£2.50,https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/40/5060317350040/5060317350040_L.jpeg,Heck Chicken Italia Sausages 340g,,24,3.9583,,https://www.sainsburys.co.uk/shop/gb/groceries/special-offers-314361-44/heck-chicken-italia-sausages-340g
7732081,"{'Energy': '568kJ', 'Energy kcal': '135kcal', 'Fat': '4.7g', 'Saturates': '1.5g', 'Mono-unsaturates': '2.1g', 'Polyunsaturates': '0.8g', 'Carbohydrate': '1.1g', 'Sugars': '<0.5g', 'Starch': '1.0g', 'Fibre': '<0.5g', 'Protein': '22.1g', 'Salt': '2.30g'}",£2.00,https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/73/0000000195973/0000000195973_L.jpeg,"Sainsbury's Breaded Yorkshire Ham, Taste the Difference 120g",Produced in United Kingdom Produced using British Pork,8,3.625,,https://www.sainsburys.co.uk/shop/gb/groceries/special-offers-314361-44/sainsburys-breaded-yorkshire-ham--taste-the-difference-120g-7732081-p-44
7508829,"{'Energy': '1185kJ', 'Energy kcal': '286kcal', 'Fat': '23.0g', 'Saturates': '8.3g', 'Mono-unsaturates': '10.0g', 'Polyunsaturates': '3.9g', 'Carbohydrate': '1.4g', 'Sugars': '<0.5g', 'Starch': '1.0g', 'Fibre': '<0.5g', 'Protein': '18.0g', 'Salt': '1.20g'}",£2.00,https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/47/0000001798647/0000001798647_L.jpeg,"Sainsbury's Pork Chipolata, Taste the Difference 375g",Produced in United Kingdom Produced using British Pork,25,2.72,,https://www.sainsburys.co.uk/shop/gb/groceries/special-offers-314361-44/sainsburys-ultimate-pork-chipolata--taste-the-difference-375g
7317034,"{'Energy': '872kJ', 'Energy kcal': '207kcal', 'Fat': '7.4g', 'Saturates': '2.8g', 'Mono-unsaturates': '3.4g', 'Polyunsaturates': '1.2g', 'Carbohydrate': '<0.5g', 'Sugars': '<0.5g', 'Starch': '<0.5g', 'Fibre': '0g', 'Protein': '34.9g', 'Salt': '3.48g'}",£1.50,https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/01/0000001738001/0000001738001_L.jpeg,Sainsbury's Spanish Serrano Ham Slices 70g,Produced in Spain Packed in Spain Produced from Spanish Pork,6,3.6667,,https://www.sainsburys.co.uk/shop/gb/groceries/special-offers-314361-44/sainsburys-serrano-ham-70g
7738243,"{'Energy': '891kJ', 'Energy kcal': '213kcal', 'Fat': '11.4g', 'Saturates': '4.9g', 'Mono-unsaturates': '5.6g', 'Polyunsaturates': '0.4g', 'Carbohydrate': '<0.5g', 'Sugars': '<0.5g', 'Fibre': '<0.5g', 'Protein': '27.6g', 'Salt': '0.20g'}",£4.25,https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/91/0000000199391/0000000199391_L.jpeg,Sainsbury's 21 Day Matured Sirloin Steak 225g,"Produced in Ireland, United Kingdom Packed in United Kingdom Produced using Produced using British or Irish beef Produced from British or Irish beef",9,3.0,,https://www.sainsburys.co.uk/shop/gb/groceries/special-offers-314361-44/sainsburys-sirloin-steak-225g
90278,"{'Energy': '719kJ', 'Energy kcal': '170kcal', 'Fat': '3.5g', 'Saturates': '1.6g', 'Carbohydrate': '<0.5g', 'Sugars': '<0.5g', 'Fibre': '<0.5g', 'Protein': '34.2g', 'Salt': '0.15g'}",£6.50,https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/07/0290480000007/0290480000007_L.jpeg,Sainsbury's Unfatted Topside/Top Rump Beef Roasting Joint 1kg - 1.8kg,"Produced in United Kingdom Packed in United Kingdom Produced using British or Irish Beef, British or Irish beef",69,3.1594,,https://www.sainsburys.co.uk/shop/gb/groceries/special-offers-314361-44/sainsburys-british-or-irish-beef-roasting-joint--large-%28approx-2050kg%29
6030607,"{'Energy': '1227kJ', 'Energy kcal': '295kcal', 'Fat': '20.2g', 'Saturates': '7.0g', 'Mono-unsaturates': '9.8g', 'Polyunsaturates': '2.6g', 'Carbohydrate': '<0.5g', 'Sugars': '<0.5g', 'Fibre': '<0.5g', 'Protein': '28.0g', 'Salt': '5.73g'}",£1.25,https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/40/0000001095340/0000001095340_L.jpeg,Sainsbury's Italian Prosciutto Crudo Slices 70g,Produced in Italy Packed in Italy Produced using Dutch pork,4,4.25,,https://www.sainsburys.co.uk/shop/gb/groceries/special-offers-314361-44/sainsburys-italian-prosciutto-crudo-slices-70g
