item_code,product_name,url,price_per_unit,unit,rating,product_reviews,product_origin,product_image,Mono unsaturates,sugars,of which sugars:,of which Sugars,of which Sugars:,Vitamin A,Energy (kJ),Fat g,- sugars,Vitamin D,Proteine,image_urls,Fat:,- mono-unsaturates,Of which Sugars,Trans Fat,Total fat,Energy kcal,Fat (g),of which - Sugars,Carbohydrate:,(of which sugars),Trans Fats,of which saturated fatty acids,of which saturates [g],and EPA,Fibre g,Iron,Salt:,Fats,Protein g,- kcal,-of which sugars,DHA,poly-unsaturated,of which saturates (g),of which sugars :,Carbohydrate [g],- of which saturates (g),Fibre :,EPA,Energy,Of which saturates,Proteins,Carbohydrate g,Energy [kJ/kcal],Protein (g),Total Omega  3,Fat [g],of which saturates g,Energy:,- polyunsaturates,Starch,Calcium,Carbohydrate (g),of which sugar,Energy kJ,of which sugars [g],- of which Saturates,of which DHA,Trans fat,of which sugars,Polyunsaturates,Fibres,mono unsaturates,Total Sugars,Energy :,Fiber,Omega 3 Fatty Acids,- of which sugars (g),Vitamin B12,Omega 3,-of which saturates,Omega 3 fatty acids,of which saturated,Sodium,Protein [g],Protein :,Energy kJ/kcal,of which sugars (g),kcal,Salt (g),Energy value,Fat :,of which Saturates,Carbohydrate,of which sugars g,of which saturates :,thereof saturated fatty acids,Fibre:,of which saturates:,Thiamin (Vitamin B1),- starch,Salt,Vitamin C,Carbohydrate :,Carbohydrates:,Salt :,Polyols,mono-unsaturated,(of which saturates),Fibre [g],(of which sugars,trans fat,Energy (kcal),Dietary fibre,(kcal),Protein,Energy - kJ,- of which Sugars,saturates,- saturates,Of which: Saturates,of which - Saturates,polyunsaturates,Of which Saturates,- of which sugars,Fibre (g),of which saturates,Saturates,Energy kg/kcal,Potassium,Amount of sugar,of which saturated fats,Salt [g],- of which saturates,(of which saturates,Salt g,Omega 6,Carbohydrates,Protein:,Mono-unsaturates,Carbohydrates (g),Sugars,Of which: Sugars,of which Saturates:,Of which sugars,images,Fat,mono-unsaturates,of which: sugars,of which: saturates,Fibre,of which is saturated,of which: Saturates,Cholesterol
7888321,Sainsbury's Seafood Sauce 200g,https://www.sainsburys.co.uk/shop/gb/groceries/sauces--marinades---yorkshire-puddings-310901-44/sainsburys-seafood-sauce-200g,£1.75,,0.0,0,"Produced in England, United Kingdom",,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/00/0000000307000/0000000307000_L.jpeg'],,,,,,212kcal,,,,,,,,,,,,,,,,,,,,,,,,879kJ,,,,,,,,,,,4.4g,,,,,,,,,,3.3g,,,,,,,,,,,,,,,,,,,,,,,11.0g,,,,,,,,0.49g,,,,,,,,,,,,,,1.1g,,,,,,,,,,,,4.8g,,,,,,,,,,,,9.0g,,6.6g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/00/0000000307000/0000000307000_L.jpeg', 'path': 'full/fdf2dcac5ed4535580e5e41533dc3afffe04247b.jpg', 'checksum': '2dc7b3c0ecb14c996b82d6a6c1babc0f'}]",18.2g,,,,<0.5g,,,
7946991,Gressingham Bistro Duck Legs With Honey & Hoisin x2 530g,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1258808&urlRequestType=Base&categoryId=312365&catalogId=10123&langId=44,£5.70,,,,,,,,,6.4g,,,951,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/32/5016157078132/5016157078132_L.jpeg'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4g,6.4g,,,,,,,,0.65g,,,,,,,,,,,,,227,24g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/32/5016157078132/5016157078132_L.jpeg', 'path': 'full/fc8514ad87c1ab944d143fa84a0d3b7c4d01d1b0.jpg', 'checksum': '22c58ee5c32c153b7972bc02304510e6'}]",12g,,,,<0.5g,,,
55437,"Sainsbury's Honey Roast Ham, Farm Assured (Counter)",https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=133500&urlRequestType=Base&categoryId=314361&catalogId=10131&langId=44,£14.00,,,,,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/SainsburysStorefrontAssetStore/img/thumb-no-image-140.png'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/SainsburysStorefrontAssetStore/img/thumb-no-image-140.png', 'path': 'full/e39cde9726a770b71fa27ea0ad80364817a608e2.jpg', 'checksum': '2f6eee806158c38b66d04b33510287c0'}]",,,,,,,,
7945627,Goatsbridge Eat Trout Lemon & Garlic Flaked Trout 100g,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1260372&urlRequestType=Base&categoryId=314361&catalogId=10167&langId=44,£3.00,,,,,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/85/5392000060685/5392000060685_L.jpeg'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57mg,,,,,,,,,,,,,,1.0g,,,,,,,,2.2g,,,,,,,,,0.4g),,,,,25.3g,,,,,,,,,,,,,887/,,,,,,1.7g),,,,,,,,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/85/5392000060685/5392000060685_L.jpeg', 'path': 'full/42d3b4f04198b2397de530c7ca3f89f7c307022a.jpg', 'checksum': 'a3c99f76b3eee87664411f150bce61c2'}]",11.9g,,,,<0.5g,,,
7936521,Sainsbury's Slow Cooked British Chicken Balti Curry 480g (Serves 2),https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1246468&urlRequestType=Base&categoryId=314359&catalogId=10058&langId=44,£4.75,,,,,,,,,,,,,,2.6g,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/92/0000000340892/0000000340892_L.jpeg'],,2.1g,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6g,,,,,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2g,,,,,,,1.9g,0.40g,,,,,,,,,,,,,,11.5g,,,,1.2g,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/92/0000000340892/0000000340892_L.jpeg', 'path': 'full/99e29dc900a0c436575d0df7e3d56c62f869294b.jpg', 'checksum': '55d20267091d4b18b61386a0dd4a400f'}]",5.2g,,,,1.5g,,,
7939589,Fry's Artisan Vegan Chargrilled Beef-Style Strips 250g,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1250504&urlRequestType=Base&categoryId=417421&catalogId=10135&langId=44,£2.50,,,,,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/69/5060070964669/5060070964669_L.jpeg'],,,,,,,,,,,,,,,,,,,,,1.4g,,,,,,,,,227kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3g,,,,,,,,,,,,,5.2g,,,,,,,,2.6g,,,,,,,,,,,,,,19.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/69/5060070964669/5060070964669_L.jpeg', 'path': 'full/e4fc212b04b9add1068e1d5644ec86e53f13f0e1.jpg', 'checksum': '34fc41d91f9be56285aa5c76d776dba2'}]",12.4g,,,,8.3g,,,
7927640,Upton's Naturals Smoky Barbecue Jackfruit 200g,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1237300&urlRequestType=Base&categoryId=417421&catalogId=10135&langId=44,£3.00,,,,,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/98/0851070006498/0851070006498_L.jpeg'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261kJ /,,,,,,,,,,,,,,,,,,,,5.4g,,,,,,,,,,,,,,,,,,,,,,,,14g,,,,,,,,0.85g,,,,,,,,,,,,,,1.6g,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/98/0851070006498/0851070006498_L.jpeg', 'path': 'full/f7bae3c023af6b250d085fd8d66c99281c2c8bfe.jpg', 'checksum': '1bc76c79a567e410eebe3d49c87763c0'}]",0g,,,,5g,,,
7655419,"Sainsbury's Lamb Gravy, Taste the Difference 450g",https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-lamb-gravy--taste-the-difference-450g,£3.15,,,,Produced in United Kingdom Packed in United Kingdom Produced using Lamb from the UK,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/84/0000000130684/0000000130684_L.jpeg'],,,,,,46kcal,,,,,,,,,,,,,,,,,,,,,,,,197kJ,,,,,,,,,,,3.9g,,,,,,,,,,<0.1g,,,,,,,,,,,,,,,,,,,,,,,8.5g,,,,,,,,0.75g,,,,,,,,,,,,,,2.4g,,,,,,,,,,,,<0.1g,,,,,,,,,,,,<0.1g,,4.6g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/84/0000000130684/0000000130684_L.jpeg', 'path': 'full/01c1c9f294b9c86a0328f105d6709da29e3b89ab.jpg', 'checksum': '9f94ad19b9fdbbdbebc23416cdf63773'}]",<0.5g,,,,<0.5g,,,
7754638,"Sainsbury's Lady Balfour Baking Potatoes, SO Organic x4",https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-lady-balfour-baking-potatoes--so-organic-x4,£1.85,,,,Not required for this product United Kingdom,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/27/0000000208727/0000000208727_L.jpeg'],,,,,,99kcal,,,,,,,,,,,,,,,,,,,,,,,,420kJ,,,,,,,,,,,19.3g,,,,,,,,,,,,,1.4g,,,,,,,,,,,,,,,,,,,,20.5g,,,,,,,,<0.01g,,,,,,,,,,,,,,2.5g,,,,,,,,,,,,<0.1g,,,,,,,,,,,,,,,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/27/0000000208727/0000000208727_L.jpeg', 'path': 'full/3680f89607da5e220c0d4acc2c492f8135367ffc.jpg', 'checksum': 'c65af3f40e6adde4d8f7534955a0a35a'}]",<0.5g,,,,2.6g,,,
7822286,"Sainsbury's Layered Carrots, Broccoli & Kale 260g",https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-layered-carrots--broccoli---kale-260g,£1.50,,,,Packed in United Kingdom,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/38/0000000254038/0000000254038_L.jpeg'],,,,,,65kcal,,,,,,,,,,,,,,,,,,,,,,,,271kJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9g,,,,,,,,0.15g,,,,,,,,,,,,,,2.1g,,,,,,,,,,,,0.7g,,,,,,,,,,,,,,2.1g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/38/0000000254038/0000000254038_L.jpeg', 'path': 'full/0f15ae184f02a81187bfc4ea6206fa967407492b.jpg', 'checksum': 'fdac58d79f732fc2b9a2e8463db3f6df'}]",2.3g,,,,4.3g,,,
