fibre,rating,price_per_unit,fat,carbohydrates,starch,protein,unit,product_origin,energy_kj,total_sugars,salt,item_code,url,name,reviews,energy_kcal,saturates
,4.875,£1.65/unit,,,,,unit,,,,,3359556,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/aunt-bessies-yorkshire-puddings-x12-220g,Aunt Bessie's Golden Yorkshire Puddings x12 220g,8,,
,4.8,£2.15/unit,,,,,unit,,,,,7840841,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/birds-eye-garden-peas-800g,Birds Eye Garden Peas 800g,5,,
,5.0,£1.40/unit,,,,,unit,,,,,2022000,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/oxo-stock-cubes--beef-x12-71g,Oxo Beef Stock Cubes x12 71g,3,,
,3.2381,£1.75/unit,,,,,unit,,,,,7170041,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/aunt-bessies-honey-glazed-roast-parsnips-600g,Aunt Bessie's Honey Glazed Roast Parsnips 500g,21,,
,5.0,£1.30/unit,,,,,unit,,,,,7710577,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/paxo-sage---onion-stuffing-190g,Paxo Sage & Onion Stuffing for Chicken 170g,1,,
,5.0,£2.30/unit,,,,,unit,,,,,2477114,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/bisto-best-gravy-granules--beef-200g,Bisto Best Beef Gravy 200g,8,,
,3.7778,£3.45/unit,,,,,unit,,,,,7840809,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/birds-eye-petits-pois-105kg,Birds Eye Petits Pois 1.05kg,9,,
,3.9524,£3.00/unit,,,,,unit,,,,,7341284,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/quorn-family-roast-454g,Quorn Roast 454g,21,,
,4.5,£2.00/unit,,,,,unit,,,,,7870966,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/aunt-bessies-roast-potatoes-800g,Aunt Bessie's Roast Potatoes 800g,30,,
,3.4,£2.15/unit,,,,,unit,,,,,7831228,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/mccain-roasts-800g,McCain Roasts 800g,10,,
,3.0385,£6.30/kg,,,,,kg,"Produced in United Kingdom; Produced from British Chicken, British chicken",,,,59398,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-british-free-range-whole-chicken--taste-the-difference-900g---22kg,"Sainsbury's Whole Chicken Free Range, Taste the Difference (approx. 900g-2.2kg)",52,,
,3.9333,£4.50/unit,,,,,unit,Produced in United Kingdom; Produced using British chicken and pork,,,,558075,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-british-whole-chicken-with-sage---onion-stuffing-145kg,"Sainsbury's Roast in the Bag Whole British Chicken with Pork, Sage & Onion Stuffing 1.35kg",30,,
